year,region,fertrate,china,after_treatment
1994,11,3.097,FALSE,FALSE
1995,11,3.018,FALSE,FALSE
1996,11,2.946,FALSE,FALSE
1997,11,2.88,FALSE,FALSE
1998,11,2.821,FALSE,FALSE
1999,11,2.766,FALSE,FALSE
2000,11,2.716,FALSE,FALSE
2001,11,2.669,FALSE,FALSE
2002,11,2.623,FALSE,FALSE
2003,11,2.579,FALSE,FALSE
2004,11,2.536,FALSE,FALSE
2005,11,2.495,FALSE,FALSE
2006,11,2.456,FALSE,FALSE
2007,11,2.421,FALSE,FALSE
2008,11,2.391,FALSE,FALSE
2009,11,2.364,FALSE,FALSE
2010,11,2.34,FALSE,FALSE
2011,11,2.317,FALSE,FALSE
2012,11,2.294,FALSE,FALSE
2013,11,2.27,FALSE,FALSE
2014,11,2.243,FALSE,FALSE
2015,11,2.215,FALSE,FALSE
2016,11,2.186,FALSE,FALSE
2017,11,2.157,FALSE,FALSE
2018,11,2.129,FALSE,FALSE
2019,11,2.103,FALSE,FALSE
1960,12,2.001,FALSE,FALSE
1961,12,2.05,FALSE,FALSE
1962,12,2.01,FALSE,FALSE
1963,12,2.02,FALSE,FALSE
1964,12,2.05,FALSE,FALSE
1965,12,2.139,FALSE,FALSE
1966,12,1.58,FALSE,FALSE
1967,12,2.02,FALSE,FALSE
1968,12,2.13,FALSE,FALSE
1969,12,2.13,FALSE,FALSE
1970,12,2.135,FALSE,FALSE
1971,12,2.16,FALSE,FALSE
1972,12,2.14,FALSE,FALSE
1973,12,2.14,FALSE,FALSE
1974,12,2.05,FALSE,FALSE
1975,12,1.909,FALSE,FALSE
1976,12,1.85,FALSE,FALSE
1977,12,1.8,FALSE,FALSE
1978,12,1.79,FALSE,FALSE
1979,12,1.77,FALSE,FALSE
1980,12,1.75,FALSE,FALSE
1981,12,1.74,FALSE,FALSE
1982,12,1.77,FALSE,FALSE
1983,12,1.8,FALSE,FALSE
1984,12,1.81,FALSE,FALSE
1985,12,1.76,FALSE,FALSE
1986,12,1.72,FALSE,FALSE
